prov_name,cpro,munic_name,cmun,codmun,date,area_forestal_ha
Almería,4,Terque,91,4091,2019-07-13,900.47
Alicante,3,Beneixama,23,3023,2019-07-15,861.97
Zaragoza,50,Perdiguera,206,50206,2019-07-23,599.98
Cuenca,16,Barchín del Hoyo,29,16029,2019-07-30,2591
Las Palmas,35,Artenara,5,35005,2019-08-10,1137.6
Las Palmas,35,Valleseco,32,35032,2019-08-17,8498.8
Huelva,21,Paterna del Campo,56,21056,2019-09-12,996.35
Asturias,33,Tineo,73,33073,2020-02-15,770.29
Las Palmas,35,La Aldea de San Nicolás,20,35020,2020-02-22,939.8
Asturias,33,Tineo,73,33073,2020-02-23,566.18
Orense,32,Cualedro,28,32028,2020-07-29,1036.72
Madrid,28,Robledo de Chavela,125,28125,2020-08-02,1073.05
Cáceres,10,Plasencia,148,10148,2020-08-03,558.5
Zamora,49,Gallegos del Río,87,49087,2020-08-15,1151.43
Santa Cruz de Tenerife,38,Garafía,16,38016,2020-08-21,1138
Cáceres,10,Cabezuela del Valle,35,10035,2020-08-27,4118.78
Huelva,21,Almonaster la Real,4,21004,2020-08-27,12101.35
Orense,32,Vilar de Barrio,89,32089,2020-09-12,504.63
Orense,32,Chandrexa de Queixa,29,32029,2020-09-13,705.74
Orense,32,Vilariño de Conso,92,32092,2020-09-13,817.29
Orense,32,Cualedro,28,32028,2020-09-13,1309.56
Orense,32,Lobios,42,32042,2020-09-13,2025.95
Orense,32,A Mezquita,48,32048,2020-09-14,519.61
Orense,32,Manzaneda,44,32044,2020-09-14,810.52
Zamora,49,Villalcampo,247,49247,2020-10-19,664.29
Cantabria,39,Arredondo,7,39007,2020-11-21,563.4
Almería,4,Berja,29,4029,2021-01-21,623.81
Almería,4,Olula de Castro,68,4068,2021-02-01,718.27
Navarra/Guipúzcoa/Francia,31,Bera-Lesaka-Irún,250,31250,2021-02-20,1125.96
Cantabria,39,Udías,90,39090,2021-02-20,731.09
Cantabria,39,Soba,83,39083,2021-03-29,793.72
S.C. Tenerife,38,Arico,5,38005,2021-05-20,3052
Ciudad Real,13,Chillón/Almadén,38,13038,2021-07-12,868.94
Albacete,2,Liétor,44,2044,2021-07-24,1932.74
Albacete,2,Tobarra,74,2074,2021-07-24,556.51
Cuenca,16,Víllora,274,16274,2021-07-25,501.96
Huelva,21,Villarasa,77,21077,2021-07-24,622.04
Barcelona/Tarragona,8,Bellprat/Santa Coloma de Queralt,21,8021,2021-07-26,1288.85
Ávila,5,El Tiemblo,241,5241,2021-08-06,622.27
Ávila,5,Sotalvo,239,5239,2021-08-14,21138.66
Salamanca,37,San Felices de los Gallegos,285,37285,2021-08-17,1735.23
Badajoz,6,Alburquerque,6,6006,2021-08-18,697.35
Lugo,27,Ribas de Sil,52,27052,2021-09-05,1477.6
Málaga,29,Jubrique,64,29064,2021-09-08,7664.69
Zamora,49,Hermisende,94,49094,2022-01-28,1421.13
Zamora,49,Lubián,100,49100,2022-02-25,503
Málaga,29,Júzcar,65,29065,2022-06-08,4553.53
Lleida,25,Artesa de Segre,34,25034,2022-06-15,2504.9
Zamora,49,Riofrío de Aliste,176,49176,2022-06-15,24073.86
Zaragoza,50,Nonaspe,189,50189,2022-06-16,1110
Toledo,45,Toledo,168,45168,2022-06-17,1738
Navarra,31,Arguedas/Valtierra,32,31032,2022-06-19,2060.38
Navarra,31,Legarda/Guirguillano,147,31147,2022-06-19,6247.64
Teruel,44,Castejón de Tornos,65,44065,2022-06-20,1350
Navarra,31,Gallipienzo/San Martín de Unx,110,31110,2022-06-20,6598.64
Valencia,46,Venta del Moro,254,46254,2022-07-03,1330.6
Cáceres/Salamanca,10,Ladrillar/Monsagro,108,10108,2022-07-11,10438.58
Salamanca,37,Candelario,78,37078,2022-07-11,507.9
Cáceres,10,Casas de Miravete,57,10057,2022-07-14,2728.9
Málaga,29,Mijas,70,29070,2022-07-15,1788.33
Ourense,32,Carballeda de Valdeorras/Riodolas,17,32017,2022-07-14,12607.23
Lugo,27,A Pobra do Brollón/Saa,47,27047,2022-07-14,12768.22
Ourense,32,Vilariño de Conso,92,32092,2022-07-15,6999.36
Zamora,49,Figueruela de Arriba,69,49069,2022-07-15,1151.32
Ciudad Real,13,Montiel,57,13057,2022-07-15,799.08
Zamora,49,Roelos de Sayago,180,49180,2022-07-15,648.84
Segovia,40,Navafría,139,40139,2022-07-15,758.51
Ávila,5,Cebreros,57,5057,2022-07-16,4071.92
Zamora,49,Losacio,99,49099,2022-07-17,26181.96
Barcelona,8,El Pont de Vilomara i Rocafort,182,8182,2022-07-17,1502.64
Zaragoza,50,Ateca,38,50038,2022-07-18,11004.1
León,24,Ponferrada,115,24115,2022-07-17,1405.6
Zamora,49,Villaseco,269,49269,2022-07-18,589.28
Guadalajara,19,Valdepeñas de la Sierra,305,19305,2022-07-19,2478.29
Ourense,32,Oímbra (Rabal),53,32053,2022-07-18,1931.08
Ourense,32,Oímbra (Videferre),53,32053,2022-07-17,901.33
S.C. Tenerife,38,Los Realejos,31,38031,2022-07-21,2739.3
Burgos,9,Quintanilla del Coco,295,9295,2022-07-24,1819.69
Zamora,49,Losacino,98,49098,2022-07-24,690.8
Guadalajara,19,Humanes,151,19151,2022-07-25,974.62
